id,set_name,img,text,gold_hate,gold_pc,gold_attack,pc,attack
42953,train,img/42953.png,its their character not their color that matters,['not_hateful'],['pc_empty'],['attack_empty'],None,None
23058,train,img/23058.png,don't be afraid to love again everyone is not like your ex,['not_hateful'],['pc_empty'],['attack_empty'],None,None
13894,train,img/13894.png,putting bows on your pet,['not_hateful'],['pc_empty'],['attack_empty'],None,None
37408,train,img/37408.png,i love everything and everybody! except for squirrels i hate squirrels,['not_hateful'],['pc_empty'],['attack_empty'],None,None
82403,train,img/82403.png,"everybody loves chocolate chip cookies, even hitler",['not_hateful'],['pc_empty'],['attack_empty'],None,None
16952,train,img/16952.png,go sports! do the thing! win the points!,['not_hateful'],['pc_empty'],['attack_empty'],None,None
76932,train,img/76932.png,fine you're right. now can we fucking drop it?,['not_hateful'],['pc_empty'],['attack_empty'],None,None
2973,train,img/02973.png,how long can i run? till the chain tightens,['not_hateful'],['pc_empty'],['attack_empty'],None,None
58306,train,img/58306.png,"what is he hiding? we need to see his tax returns! let me stop you right there hillary you deleted 30,000 emails, used bleach bit on hard drives, then destroyed phones with hammers you have no right to talk about people hiding anything truth uncensored",['not_hateful'],['pc_empty'],['attack_empty'],None,None
34096,train,img/34096.png,"removes polish with chemicals, nobody bats an eye",['not_hateful'],['pc_empty'],['attack_empty'],None,None
19324,train,img/19324.png,when you're the only dog left at the dog shelter and the black family wants to adopt you,['not_hateful'],['pc_empty'],['attack_empty'],None,None
79346,train,img/79346.png,voting for hillary is like letting casey anthony watch your kids because she's not guilty,['not_hateful'],['pc_empty'],['attack_empty'],None,None
13426,train,img/13426.png,they will soon be free,['not_hateful'],['pc_empty'],['attack_empty'],None,None
97628,train,img/97628.png,"is it ok for your son or daughter to call another man ""daddy?",['not_hateful'],['pc_empty'],['attack_empty'],None,None
14238,train,img/14238.png,most religions are religions of peace,['not_hateful'],['pc_empty'],['attack_empty'],None,None
28936,train,img/28936.png,when you find out there's an opening for the role of first lady,['not_hateful'],['pc_empty'],['attack_empty'],None,None
59784,train,img/59784.png,if people reject me because i stand on the truth then i have no problem walking alone,['not_hateful'],['pc_empty'],['attack_empty'],None,None
2146,train,img/02146.png,from the bottom of my heart i would like to sincerely apologize..... for being white,['not_hateful'],['pc_empty'],['attack_empty'],None,None
70146,train,img/70146.png,"lets erect a memorial to all the americans murdered by an illegal alien make it 1,500 miles long 30 feet tall and put it on the southern border",['not_hateful'],['pc_empty'],['attack_empty'],None,None
28061,train,img/28061.png,just because they do this dosen't mean they'll do this,['not_hateful'],['pc_empty'],['attack_empty'],None,None
49752,train,img/49752.png,here's to all my friends who never post about politics or religion,['not_hateful'],['pc_empty'],['attack_empty'],None,None
25610,train,img/25610.png,enjoying a day at the beach,['not_hateful'],['pc_empty'],['attack_empty'],None,None
72640,train,img/72640.png,"is bribing muslims for liberal votes justin trudeau's only skill? why does justin trudeau love foreigners so much while openly disrespecting canadians, canadian values, our history and traditions, our seniors and veterans? sharia law has no place in canada! never has... never will.",['not_hateful'],['pc_empty'],['attack_empty'],None,None
64318,train,img/64318.png,when they take too long to blow out the candle,['not_hateful'],['pc_empty'],['attack_empty'],None,None
17956,train,img/17956.png,one simple question why are we letting one man systematically destroy our nation before our eyes? answer mitch mcconnell,['not_hateful'],['pc_empty'],['attack_empty'],None,None
10743,train,img/10743.png,move to new york they said it'll be fun they said,['not_hateful'],['pc_empty'],['attack_empty'],None,None
37091,train,img/37091.png,my sandwich-maker is very slow today,['not_hateful'],['pc_empty'],['attack_empty'],None,None
25719,train,img/25719.png,when you accidentally fall in the toilet,['not_hateful'],['pc_empty'],['attack_empty'],None,None
76825,train,img/76825.png,two woman walking home together after a nice day out together,['not_hateful'],['pc_empty'],['attack_empty'],None,None
72598,train,img/72598.png,texas churches be like... pew pew pew,['not_hateful'],['pc_empty'],['attack_empty'],None,None
43078,train,img/43078.png,i don't always have a heat stroke and get frostbite in the same week but when i do i know i'm in kentucky,['not_hateful'],['pc_empty'],['attack_empty'],None,None
51846,train,img/51846.png,doesn't wear tampons because she trips over the string,['not_hateful'],['pc_empty'],['attack_empty'],None,None
1569,train,img/01569.png,when you can't decide to pre heat the oven or just throw the meal in right away,['not_hateful'],['pc_empty'],['attack_empty'],None,None
95812,train,img/95812.png,happy shot in the face day 5-2-2011,['not_hateful'],['pc_empty'],['attack_empty'],None,None
6418,train,img/06418.png,1 bomb every minute,['not_hateful'],['pc_empty'],['attack_empty'],None,None
53976,train,img/53976.png,black power comes with a lot of responsibility,['not_hateful'],['pc_empty'],['attack_empty'],None,None
70193,train,img/70193.png,that chiken is so black no one is going to eat it,['not_hateful'],['pc_empty'],['attack_empty'],None,None
60427,train,img/60427.png,i hope both teams lose,['not_hateful'],['pc_empty'],['attack_empty'],None,None
78395,train,img/78395.png,say the damn pronouns,['not_hateful'],['pc_empty'],['attack_empty'],None,None
4876,train,img/04876.png,goin,['not_hateful'],['pc_empty'],['attack_empty'],None,None
92075,train,img/92075.png,we need problem solvers not racist and religious bigots in office,['not_hateful'],['pc_empty'],['attack_empty'],None,None
86354,train,img/86354.png,officer down,['not_hateful'],['pc_empty'],['attack_empty'],None,None
10263,train,img/10263.png,"rep. dan crenshaw former navy seal decorated war hero literally lost an eye ""doing something about terrorism"" rep.ocasio-cortez former bartender supports socialism told dan crenshawn he should ""do something about terrorism""",['not_hateful'],['pc_empty'],['attack_empty'],None,None
48279,train,img/48279.png,nice watch must have cost an arm and a leg,['not_hateful'],['pc_empty'],['attack_empty'],None,None
58371,train,img/58371.png,when you suck at photoshop,['not_hateful'],['pc_empty'],['attack_empty'],None,None
27401,train,img/27401.png,for the last time.. i'm not michelle obama,['not_hateful'],['pc_empty'],['attack_empty'],None,None
89574,train,img/89574.png,i'm cute,['not_hateful'],['pc_empty'],['attack_empty'],None,None
25473,train,img/25473.png,and then i told them you're going on a fun camping trip,['not_hateful'],['pc_empty'],['attack_empty'],None,None
47913,train,img/47913.png,"the jussie smollett case explained. ""how do you plead? "" ""innocent!!!"" ""black, gay, trump hater, friend of michelle obama",['not_hateful'],['pc_empty'],['attack_empty'],None,None
8295,train,img/08295.png,please consider donating water to children in need,['not_hateful'],['pc_empty'],['attack_empty'],None,None
2497,train,img/02497.png,you're a wizard motherfucker,['not_hateful'],['pc_empty'],['attack_empty'],None,None
69357,train,img/69357.png,hey look at me! i'm a serial pedofile,['not_hateful'],['pc_empty'],['attack_empty'],None,None
15320,train,img/15320.png,obama working to legalize medical cannabis for all of the usa,['not_hateful'],['pc_empty'],['attack_empty'],None,None
63182,train,img/63182.png,my wife just got a seashell tattoo on her inner thigh if you put your ear to it you can smell the ocean,['not_hateful'],['pc_empty'],['attack_empty'],None,None
82457,train,img/82457.png,ring ring hello? i've been waiting for your call all damn day!!!,['not_hateful'],['pc_empty'],['attack_empty'],None,None
81059,train,img/81059.png,i like my refugees like this '' '' '',['not_hateful'],['pc_empty'],['attack_empty'],None,None
42137,train,img/42137.png,when you get hungry you can either think about it or..,['not_hateful'],['pc_empty'],['attack_empty'],None,None
40832,train,img/40832.png,taking photo with a mosque,['not_hateful'],['pc_empty'],['attack_empty'],None,None
46127,train,img/46127.png,"""ay, tone. how'd da gas stay in if da door is made of wood?""",['not_hateful'],['pc_empty'],['attack_empty'],None,None
87594,train,img/87594.png,"what do i have in common with cow pies? the older we get, the easier for you to pick us up!",['not_hateful'],['pc_empty'],['attack_empty'],None,None
12548,train,img/12548.png,running chocolate,['not_hateful'],['pc_empty'],['attack_empty'],None,None
12894,train,img/12894.png,"imagine, if you will an entire country so ignorant that the people wilfully give billions of dollars in order to elect rich criminals to rule over their lives and steal their money, but believe they are free",['not_hateful'],['pc_empty'],['attack_empty'],None,None
2476,train,img/02476.png,im never doing a garden again!,['not_hateful'],['pc_empty'],['attack_empty'],None,None
5762,train,img/05762.png,"listen bitch, before you start fucking with me you should know my team is bigger",['not_hateful'],['pc_empty'],['attack_empty'],None,None
40259,train,img/40259.png,masturbation it's not just for men,['not_hateful'],['pc_empty'],['attack_empty'],None,None
85072,train,img/85072.png,what is this sleep of which you speak?,['not_hateful'],['pc_empty'],['attack_empty'],None,None
46537,train,img/46537.png,"oakland mayor libby schaaf i saved 800 ms-13 rapists, murderers, molesters from ice",['not_hateful'],['pc_empty'],['attack_empty'],None,None
56432,train,img/56432.png,"what if i told you that you cant ""tolerate"" a person who agrees with you? """,['not_hateful'],['pc_empty'],['attack_empty'],None,None
39805,train,img/39805.png,look both ways before you cross the street,['not_hateful'],['pc_empty'],['attack_empty'],None,None
29163,train,img/29163.png,what kind of punch can take out 20 kids and 6 adults? a sandy hook,['not_hateful'],['pc_empty'],['attack_empty'],None,None
36072,train,img/36072.png,"she said ""choke me daddy"" so i gave her 2 popeye's biscuits without a drink",['not_hateful'],['pc_empty'],['attack_empty'],None,None
60147,train,img/60147.png,meditation before going to school,['not_hateful'],['pc_empty'],['attack_empty'],None,None
38612,train,img/38612.png,so there is this new implant that can actually fix stupid,['not_hateful'],['pc_empty'],['attack_empty'],None,None
34961,train,img/34961.png,this cat is pushing a watermelon out of a lake. your argument is invalid,['not_hateful'],['pc_empty'],['attack_empty'],None,None
89762,train,img/89762.png,that blackened chicken was so dry it reminded me of your mother,['not_hateful'],['pc_empty'],['attack_empty'],None,None
38465,train,img/38465.png,"yo dawg, i heard you like memes  so i made a meme mocking memes you so you can can mock me knocking memes while reading mock memes",['not_hateful'],['pc_empty'],['attack_empty'],None,None
53289,train,img/53289.png,when everybody's worried about their ex but you're just here enjoying your lemonade,['not_hateful'],['pc_empty'],['attack_empty'],None,None
18350,train,img/18350.png,when you see the gas bill,['not_hateful'],['pc_empty'],['attack_empty'],None,None
91547,train,img/91547.png,cheers to all the people who can change their minds when presented with information that contradicts their beliefs,['not_hateful'],['pc_empty'],['attack_empty'],None,None
30247,train,img/30247.png,broken chair,['not_hateful'],['pc_empty'],['attack_empty'],None,None
93741,train,img/93741.png,stop being a bitch,['not_hateful'],['pc_empty'],['attack_empty'],None,None
51243,train,img/51243.png,honestly how often do you masturbate?,['not_hateful'],['pc_empty'],['attack_empty'],None,None
5384,train,img/05384.png,spending quality time with dad,['not_hateful'],['pc_empty'],['attack_empty'],None,None
1845,train,img/01845.png,when you consume too much trans fat,['not_hateful'],['pc_empty'],['attack_empty'],None,None
